00-XX	总论
00-01	教学阐述(教科书、教学论文等)
00-02	研究阐述(专著, 评述论文)
00Axx	一般的和各种特殊的课题
00A05	普通数学
00A06	非数学家的数学(工程、社会科学等)
00A07	问题集
00A08	趣味数学[参见97A20]
00A09	数学普及
00A15	书目
00A17	外国书评
00A20	辞典和其它一般参考书
00A22	公式集
00A30	数学哲学[参见03A05]
00A35	数学方法论, 教学法[参见97Cxx, 97Dxx]
00A65	数学和音乐
00A66	数学和视觉艺术, 可视化
00A67	数学和建筑学
00A69	一般应用数学(物理, 见00A79和70-XX到86-XX部分)
00A71	数学建模理论
00A72	一般模拟方法
00A73	维数分析
00A79	物理学(尽可能使用从70-XX到86-XX更明确的分类)
00A99	其它
00Bxx	会议录与论文集
00B05	演讲摘要集
00B10	一般论文集
00B15	专题论文集
00B20	一般会议录
00B25	专题会议录
00B30	纪念文集
00B50	精选译文集
00B55	其它译文合订本
00B60	再版文集[参见01A75]
00B99	其它
01-XX	历史与传记[参见其它一级类目中的分类号-03部分]
01-00	一般参考书(手册、辞典、书目等)
01-01	教学阐述(教科书、教学论文等)
01-02	研究阐述(专著, 评述论文)
01-06	会议录、会议、文集等
01-08	计算方法
01Axx	数学史和数学家
01A05	一般历史, 原始资料集
01A07	民族数学, 一般问题
01A10	旧石器时代, 新石器时代
01A12	美洲土著文化
01A13	其它土著文化(非欧洲)
01A15	欧洲土著文化(前希腊时期等)
01A16	埃及
01A17	巴比伦
01A20	希腊, 罗马
01A25	中国
01A27	日本
01A29	东南亚
01A30	伊斯兰(中世纪)
01A32	印度
01A35	中世纪
01A40	15, 16世纪, 文艺复兴时期
01A45	17世纪
01A50	18世纪
01A55	19世纪
01A60	20世纪
01A61	21世纪
01A65	当代的
01A67	未来展望
01A70	传记, 讣告, 轶事, 书目
01A72	数学学派
01A73	大学
01A74	其它研究所和大专院校
01A75	文集或选集; 经典著作的再版或翻译[参见00B60]
01A80	数学社会学(和职业)
01A85	历史书目
01A90	书目研究
01A99	其它
03-XX	数理逻辑与基础
03-00	一般参考书(手册、辞典、书目等)
03-01	教学阐述(教科书、教学论文等)
03-02	研究阐述(专著, 评述论文)
03-03	历史(还必须在01-XX中至少指定一个分类号)
03-04	明显的机器计算和程序(非计算或程序设计理论)
03-06	会议录、会议、文集等
03Axx	逻辑和基础的哲学方面
03A05	哲学与评论(数学哲学, 参见00A30)
03A10	科学哲学中的逻辑
03A99	其它
03Bxx	一般逻辑
03B05	经典命题逻辑
03B10	经典一阶逻辑
03B15	高阶逻辑和类型论
03B20	经典逻辑子系统(包括直觉主义逻辑)
03B22	抽象演绎系统
03B25	理论的可判定性和命题集[参见11U05, 12L05, 20F10]
03B30	经典理论的基础(包括反演数学)[参见03F35]
03B35	证明和逻辑运算的机械化[参见68T15]
03B40	组合逻辑和λ-演算[参见68N18]
03B42	知识和信仰的逻辑(包括信仰改变)
03B44	瞬时逻辑
03B45	模态逻辑(包括标准逻辑)(知识和信仰逻辑, 见03B42; 瞬时逻辑, 见03B44; 可证明性逻辑, 参见03F45)
03B47	子结构逻辑(包括相关, 蕴涵, 线性逻辑, Lambek演算, BCK和BCI逻辑)(证明论方面, 见03F52)
03B48	概率和归纳逻辑[参见60A05]
03B50	多值逻辑
03B52	Fuzzy逻辑; 模糊逻辑[参见68T27, 68T37, 94D05]
03B53	仿相容逻辑
03B55	中介逻辑
03B60	其它非经典逻辑
03B62	组合逻辑
03B65	自然语言逻辑[参见68T50, 91F20]
03B70	计算机科学中的逻辑[参见68-XX]
03B80	逻辑的其它应用
03B99	其它
03Cxx	模型论
03C05	等式类, 泛代数[参见08Axx, 08Bxx, 18C05]
03C07	一阶语言和结构的基本性质
03C10	量词消去, 模型完备性和有关课题
03C13	有限结构[参见68Q15, 68Q19]
03C15	可数结构
03C20	超积及有关构造
