00-XX	 Generale 
00-01	 Esposizione didattica (libri di testo, articoli tutoriali?introduttivi ecc.) 
00-02	 Presentazione di ricerche (monografie, articoli di rassegna) 
00Axx	 Argomenti generali e specifici miscellanei 
00A05	 Matematica generale 
00A06	 Matematica per nonmatematici (cultori di ingegneria, scienze sociali ecc.) 
00A07	 Raccolte di problemi 
00A08	 Matematica ricreativa [Vedi anche  97A20] 
00A15	 Bibliografie 
00A17	 Recensioni di libri dall'esterno della matematica? 
00A20	 Dizionari ed altre opere di riferimento generale 
00A22	 Formulari 
00A30	 Filosofia della matematica [Vedi anche  03A05] 
00A35	 Metodologia della matematica, didattica [Vedi anche  97Cxx, 97Dxx] 
00A69	 Matematica applicata generale {Per la fisica, vedi 00A79 e le sezioni da 70 a 86} 
00A71	 Teoria della modellizzazione matematica 
00A72	 Metodi generali di simulazione 
00A73	 Analisi dimensionale 
00A79	 Fisica {!usare indicazioni pi\`u specifiche dalle sezioni da 70 a 86, quando possibile} 
00A99	 Argomenti vari 
00Bxx	 Atti di conferenze e collezioni di articoli 
00B05	 Collezioni di sommari di lezioni?seminari 
00B10	 Collezioni di articoli di interesse generale 
00B15	 Collezioni di articoli di contenuto specifico vario 
00B20	 Atti di conferenze di interesse generale 
00B25	 Atti di conferenze di interesse specifico vario 
00B30	 Festschriften?volumi commemorativi 
00B50	 Volumi di traduzioni selezionate 
00B55	 Volumi di traduzioni varie 
00B60	 Collezioni di articoli ristampati [Vedi anche  01A75] 
01-XX	 Storia e biografia [Vedi anche  il numero di classificazione -03 nelle sezioni rimanenti] 
01-00	 Opere di riferimento generale (manuali, dizionari, bibliografie ecc.) 
01-01	 Esposizione didattica (libri di testo, articoli tutoriali ecc.) 
01-02	 Presentazione di ricerche (monografie, articoli di rassegna) 
01-06	 Atti, conferenze, collezioni ecc. 
01-08	 Metodi computazionali 
01Axx	 Storia della matematica e dei matematici 
01A05	 Testi storici generali, raccolte di testi originali 
01A07	 Etnomatematica, generale 
01A10	 Paleolitico, Neolitico 
01A12	 Culture indigene Americane 
01A13	 Altre culture indigene (non-Europee) 
01A15	 Culture indigene Europee (pre-Greche ecc.) 
01A16	 Egizi 
01A17	 Babilonesi 
01A20	 Greci, Romani 
01A25	 Cinesi 
01A27	 Giapponesi 
01A29	 Asia Sudorientale 
01A30	 Islam (medioevale) 
01A32	 India 
01A35	 Medioevale 
01A40	 Secoli 15esimo e 16esimo, rinascimento 
01A45	 Secolo 17esimo 
01A50	 Secolo 18esimo 
01A55	 Secolo 19esimo 
01A60	 Secolo 20esimo 
01A61	 Secolo 21esimo 
01A65	 Contemporanei 
01A67	 Prospettive future 
01A70	 Biografie, necrologi, personalia, bibliografie 
01A72	 Scuole matematiche 
01A73	 Universit\`a 
01A74	 Altre istituzioni ed accademie 
01A75	 Opere raccolte o selezionate; ristampe o traduzioni di classici [Vedi anche  00B60] 
01A80	 Sociologia (e professione) della matematica 
01A85	 Storiografia 
01A90	 Studi bibliografici 
01A99	 Argomenti vari 
03-XX	 Logica matematica e fondamenti 
03-00	 Opere di riferimento generale (manuali, dizionari, bibliografie ecc.) 
03-01	 Esposizione didattica (libri di testo, articoli tutoriali ecc.) 
